username,reponame,repourl,stars
ljianshu,Blog,https://www.github.com/ljianshu/Blog,7700
metafizzy,infinite-scroll,https://www.github.com/metafizzy/infinite-scroll,7300
developit,unfetch,https://www.github.com/developit/unfetch,5600
olifolkerd,tabulator,https://www.github.com/olifolkerd/tabulator,5600
jquery-form,form,https://www.github.com/jquery-form/form,5200
Studio-42,elFinder,https://www.github.com/Studio-42/elFinder,4500
elbywan,wretch,https://www.github.com/elbywan/wretch,4100
dwyl,learn-to-send-email-via-google-script-html-no-server,https://www.github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,3000
ded,reqwest,https://www.github.com/ded/reqwest,2900
wendux,ajax-hook,https://www.github.com/wendux/ajax-hook,2400
LeaVerou,bliss,https://www.github.com/LeaVerou/bliss,2400
noelboss,featherlight,https://www.github.com/noelboss/featherlight,2100
craftpip,jquery-confirm,https://www.github.com/craftpip/jquery-confirm,1800
taoensso,sente,https://www.github.com/taoensso/sente,1700
nette,tracy,https://www.github.com/nette/tracy,1700
loadingio,css-spinner,https://www.github.com/loadingio/css-spinner,1600
joaomilho,Enterprise,https://www.github.com/joaomilho/Enterprise,1600
k8w,tsrpc,https://www.github.com/k8w/tsrpc,1600
codingforentrepreneurs,eCommerce,https://www.github.com/codingforentrepreneurs/eCommerce,1400
u014427391,jeeplatform,https://www.github.com/u014427391/jeeplatform,1400
